date,temperature,wind,snow,rain
1/2/2010 0:00,-4,1.79,0,0
1/2/2010 1:00,-4,2.68,0,0
1/2/2010 2:00,-5,3.57,0,0
1/2/2010 3:00,-5,5.36,1,0
1/2/2010 4:00,-5,6.25,2,0
1/2/2010 5:00,-6,7.14,3,0
1/2/2010 6:00,-6,8.93,4,0
1/2/2010 7:00,-5,10.72,0,0
1/2/2010 8:00,-6,12.51,0,0
1/2/2010 9:00,-5,14.3,0,0
1/2/2010 10:00,-5,17.43,1,0
1/2/2010 11:00,-5,20.56,0,0
1/2/2010 12:00,-5,23.69,0,0
1/2/2010 13:00,-5,27.71,0,0
1/2/2010 14:00,-5,31.73,0,0
1/2/2010 15:00,-5,35.75,0,0
1/2/2010 16:00,-5,37.54,0,0
1/2/2010 17:00,-5,39.33,0,0
1/2/2010 18:00,-5,42.46,0,0
1/2/2010 19:00,-5,44.25,0,0
1/2/2010 20:00,-5,46.04,0,0
1/2/2010 21:00,-5,49.17,1,0
1/2/2010 22:00,-6,52.3,2,0
1/2/2010 23:00,-6,55.43,3,0
1/3/2010 0:00,-6,58.56,4,0
1/3/2010 1:00,-6,61.69,5,0
1/3/2010 2:00,-7,65.71,6,0
1/3/2010 3:00,-7,68.84,7,0
1/3/2010 4:00,-7,72.86,8,0
1/3/2010 5:00,-8,76.88,9,0
1/3/2010 6:00,-8,80.9,10,0
1/3/2010 7:00,-9,84.92,11,0
1/3/2010 8:00,-9,89.84,12,0
1/3/2010 9:00,-9,93.86,13,0
1/3/2010 10:00,-9,97.88,15,0
1/3/2010 11:00,-9,102.8,16,0
1/3/2010 12:00,-9,105.93,17,0
1/3/2010 13:00,-9,111.74,19,0
1/3/2010 14:00,-9,116.66,20,0
1/3/2010 15:00,-9,121.58,21,0
1/3/2010 16:00,-9,124.71,22,0
1/3/2010 17:00,-9,127.84,23,0
1/3/2010 18:00,-9,0.89,24,0
1/3/2010 19:00,-9,1.78,25,0
1/3/2010 20:00,-9,4.02,26,0
1/3/2010 21:00,-10,7.15,27,0
1/3/2010 22:00,-9,11.17,0,0
1/3/2010 23:00,-11,14.3,0,0
